name,artist,size,price
Landscape along Highway Hengguan,Zhang Daqian,7995,52180
Guanyin After Early Tang Style,Zhang Daqian,10295,39740
Landscape in the Style of Wang Meng,Zhang Daqian,6979,10240
Splashed Colour Lotus,Zhang Daqian,9213,42850
Horse After Northern Wei Style,Zhang Daqian,6837,9660
Tibetan Dancer,Zhang Daqian,6396,3140
Central Cross-lsland Highway / Calligraphy,Zhang Daqian,9356,8440
Contemplating upon an Autumn Landscape ,Zhang Daqian,10836,51060
Spring Lantern Festival,Zhang Daqian,6840,3565
Spring Landscape after Rain ,Zhang Daqian,2286,1700
Poets Li Bai and Du Fu ,Zhang Daqian,6618,2420
Ink Lotus ,Zhang Daqian,13038,9620
Lotus ,Zhang Daqian,9247.5,56660
Sleeping Beauty ,Zhang Daqian,4879.2,2660
Clear Autumn in Wu Gorge ,Zhang Daqian,2685.2,19700
Scholars Appreciating Clouds ,Zhang Daqian,6300,5780
White Lotus,Zhang Daqian,2197.8,1100
Vegetarian Food ,Zhang Daqian,8844,1340
Mount E'mei/Calligraphy,Zhang Daqian,19386.5,6020
Summer on California Mountain,Zhang Daqian,7532.5,39320
Lady in Indian Dress,Zhang Daqian,3634,7240
Lotus_sc,Zhang Daqian,6006,1940
Red Trees in Autumn Mountain ,Zhang Daqian,5073,23060
Dwelling in the Qingbian Mountains ,Zhang Daqian,8361.9,32020
Splendour of the Peak,Zhang Daqian,15397,34140
Landscape in Splashed Ink,Zhang Daqian,5820,9700
Guanyin ,Zhang Daqian,2952.8,12980
Living in the Mountains ,Zhang Daqian,7394.4,28120
Longevity ,Zhang Daqian,8187.5,3740
Two Oxen ,Xu Beihong,9932.7,10240
Standing Horse ,Xu Beihong,6077.5,10964
Scenes Inspired by Yu Xin¡¯s Poetic Sentiment,Xu Beihong,10710,32600
God of Longevity,Xu Beihong,2862,2527.5
Admiring the Stallion,Xu Beihong,4645.5,16340
Eagles,Xu Beihong,5754.7,24760
White Plum Blossoms,Xu Beihong,6921.5,10740
Horses Drinking,Xu Beihong,8153.6,22520
Sketch of Jacques Reclus,Xu Beihong,1342,1340
The Three Stallions,Xu Beihong,3785.5,10180
Calligraphy,Xu Beihong,450,100
Standing Horse,Xu Beihong,150,625
Calligraphy with Horse,Xu Beihong,671.2,750
Cat,Xu Beihong,955.8,687.5
Duck,Xu Beihong,144.9,475
Magpie,Xu Beihong,144,300
Galloping Horse,Xu Beihong,512,1024
Spring Call ,Xu Beihong,3070.8,8180
Stallion ,Xu Beihong,2400,980
Bamboo,Xu Beihong,3123.3,680
Himalayan Forest ,Xu Beihong,3332,5060
Horses Drinkings,Xu Beihong,8153.6,9840
Cattleya ,Xu Beihong,4714.3,17460
Comorants,Xu Beihong,12354,13540
Letter to Sun Douci,Xu Beihong,3255,900
Pine and Cranes,Xu Beihong,3047,1020
Galloping Horse,Xu Beihong,8572.8,3380
Magpies,Xu Beihong,3120,1460
A Standing Horse,Xu Beihong,9418.5,4820
Pine Trees,Xu Beihong,8936,1820
Running Horse,Xu Beihong,3160.2,1220
A Cat,Xu Beihong,2463.8,2660
Riding on a Donkey,Xu Beihong,2017.4,2300
Plum Blossoms ,Qi Baishi,1836.3,4360
The Retired Officer ,Qi Baishi,4700,23640
Zhongkui ,Qi Baishi,3345.7,9040
Portrait of Tao Yuanming ,Qi Baishi,3135,4480
Guanyin Scroll,Qi Baishi,4522.5,7840
Hunting,Qi Baishi,2754.7,4240
Hongxian Stealing a Box ,Qi Baishi,4904.6,10240
Taking Grandson to School ,Qi Baishi,1068,2420
Autumn Flowers,Qi Baishi,11072.2,20840
Magpie on Plum Blossom ,Qi Baishi,3454.3,1960
Flowers and Butterflies,Qi Baishi,10020,17740
Cabbage and Mushrooms,Qi Baishi,915,596
Crows On Barren Tree ,Qi Baishi,660.34,680
Insects and Leaves ,Qi Baishi,3536,10240
Flowers and Insects ,Qi Baishi,485,2440
Wisteria ,Qi Baishi,3824.7,3640
Red Knotweed Blossoms and Dragonfly ,Qi Baishi,1008,3620
"White Bean, Leaves and Tendrils ",Qi Baishi,1645,1820
Calligraphy - Poem by Jin Nong ,Qi Baishi,4441.12,3380
Three Plenties ,Qi Baishi,580.8,6020
Shrimp ,Qi Baishi,560.48,800
Monkey Contemplating Peach ,Qi Baishi,657.93,6620
Bamboo and Rock ,Qi Baishi,590,150
Landscape & Vegetables,Qi Baishi,1129,17460
Spring Scenery,Qi Baishi,10668,2900
Longevity Peaches and Wine ,Qi Baishi,4558.86,3160
Lotus of the Seasons,Qi Baishi,18090.24,9100
Waterfall in Dinghu,Qi Baishi,8304.12,11860
Pigs,Qi Baishi,1427.6,1220
Chrysanthemum and a Jar of Wine,Qi Baishi,2722.5,1340
Rabbit ,Qi Baishi,1377,8420
Plum Blossoms and Bird,Qi Baishi,4884.1,4660
Li Tieguai,Qi Baishi,5038.8,5060
SNOWY MOUNTAINS,Zhang Daqian,3177.5,960
DAYLILY AND LINGZHI,Zhang Daqian,4077,286.8
PLANTIN LEAVES AND CHERRY,Zhang Daqian,9180,454.1
HERDING,Zhang Daqian,3772,776.75
MOUNT E'MEI,Zhang Daqian,9452,705
