name,nationality,position,date_join,date_leave
Achraf Hakimi,Morroco,Defender,2017,2018
Theo Hernandez,France,Defender,2017,2018
Mateo Kovacic,Croatia,Midfielder,2015,2018
Danilo,Brazil,Defender,2015,2017
Keylor Navas,Costa Rica,Goalkeeper,2014,2018
James Rodriguez,Colombia,Midfielder,2014,2017
Toni Kroos,Germany,Midfielder,2014,2018
Gareth Bale,Wales,Midfielder,2013,2018
Luka Moderic,Croatia,Midfielder,2012,2018
Casemiro,Brazil,Midfielder,2012,2018
Rafeal Varane,France,Defender,2011,2018
Sami Khedira,Germany,Midfielder,2010,2015
Angel Di Maria,Argentina,Midfielder,2010,2014
Mesut Ozil,Germany,Midfielder,2010,2013
Ricarodo Carvaho,Portugal,Defender,2010,2013
Karim Benzema,France,Forward,2009,2018
Cristiano Ronaldo,Protugal,Forward,2009,2018
Kaka,Brazil,Midfielder,2009,2013
Lassana Diarra,France,Midfielder,2009,2012
Rafael van der Vaart,Netherland,Midfielder,2008,2010
Pepe,Portugal,Defender,2007,2017
Gonzalo Higuain,Argentina,Forward,2007,2013
Marcelo,Brazil,Defender,2007,2018
Royston Drenthe,Netherland,Midfielder,2007,2012
Fernando Gago,Argentina,Midfielder,2007,2011
Wesley Sneijder,Netherland,Midfielder,2007,2009
Arjen Roben,Netherland,Forward,2007,2009
Gabriel Heinze,Argentina,Defender,2007,2009
Mahamadou Diarra,Mali,Midfielder,2006,2011
Ruud van Nistelrooy,Netherland,Forward,2006,2010
Fabio Cannavaro,Italy,Defender,2006,2009
Robinho,Brazil,Forward,2005,2008
Julio Baptista,Brazil,Midfielder,2005,2008
David Beckham,England,Midfielder,2003,2007
Ronaldo,Brazil,Forward,2002,2007
Esteban Cambiasso,Argentina,Midfielder,2002,2004
Zinedine Zidane,France,Midfielder,2001,2006
Luis Figo,Portugal,Forward,2000,2005
Santiago Solari,Argentina,Midfielder,2000,2005
Flavio Conceicao,Brazil,Midfielder,2000,2004
Claude Makelele,France,Midfielder,2000,2003
Geremi,Cameroon,Defender,1999,2003
Steve McManaman,England,Midfielder,1999,2003
Savio ,Brazil,Forward,1998,2003
Cristian Karembeu,France,Midfielder,1997,2000
Robert Carlos,Brazil,Defender,1996,2007
Bodo IIIgner,Germany,Goalkeeper,1996,2001
Cristian Panucci,Italy,Defender,1996,1999
Davor Suker,Croatia,Forward,1996,1999
Clarence Seedorf,Netherland,Forward,1996,1999
Predrag Mijatovic,Serbia,Forward,1996,1999
Fernando Redondo,Argentina,Midfielder,1994,2000
Michael Laudrup,Denmark,Midfielder,1994,1996
Peter Dubovsky,Slovakia,Forward,1993,1995
Ivan Zamorano,Chile,Forward,1992,1996
Robert Procinesky,Croatia,Midfielder,1991,1994
Ricardo Rocha,Brazil,Defender,1991,1993
Gheorghe Hagi,Romania,Midfielder,1990,1992
Bernd Schuster,Germany,Midfielder,1998,1990
Hugo Sanchez,Mexico,Forward,1985,1992
Jorge Valdano,Argentina,Forward,1984,1987
John Metgod,Netherland,Defender,1982,1984
Laurin Cunningham,England,Midfielder,1979,1984
Uli Stielike,Germany,Midfielder,1977,1985
Enrique Wolff,Argentina,Defender,1977,1979
Henning Jensen,Denmark,Forward,1976,1979
Roberto Juan Martinez,Argentina,Forward,1974,1980
Paul Breitner,Germany,Defender,1974,1977
Gunter Netzer,Germany,Midfielder,1974,1976
Juan Carlos Tourino,Argentina,Defender,1970,1976
Sebastian Fleitas,Paraguay,Forward,1969,1972
Lucien Muller,France,Midfielder,1962,1965
Ferenc Puskas,Hungary,Forward,1958,1966
Jose Santamaria,Uruguay,Defender,1957,1966
